bd_mere;count;count_distinct
CBN-ALP_2;4638879;4295
CBN-BAL_2;1241534;2537
CBN-BPA_1;4451960;2981
CBN-BPA_1_bryo;1833;371
CBN-BRE_1;2453635;2682
CBN-BRE_2;2546;29
CBN-COR_1;71126;1874
CBN-FRC_1;757522;2452
CBN-MCE_1;4401341;6127
CBN-MED_1;2142641;7137
CBN-PMP_1;752900;4363
CBN-SAT_1;182430;3358
