remarque_observateur

ONF Allier. Voir envoi d'Y. Le Jean (1/2004).	
Données Ardèche	
stagiaire ZNIEFF étudiante ENSAM
avec J. Galtier	
1813 - 1897 Réf. 11043/11673
Cité dans le fichier des Orchidées de Brigitte Bayle	
=FRAUX Romain	
Aix-en-Pce 
Technicien FDC 87.	
Stagiaire Jardin Botanique de Lyon. 	
Stagiaire au CBNMC	
Cité par Galtier  -  Service Environnement du CG42	
Contemporain 2008 Tende
PNR du Pilat	
Contemporain 1996 Etude Chrozophora
Cité dans le Fichier CREN Rh-Al	
1850 réf : 10397
Travaille à la FRAPNA 42 en 2009.	
 in 30214
Aucun
Cité dans l'herbier de G. Maret	
Contemporaine 2009 
 in Alb. & jah.
Collaborateur Plantes envahissantes de la Loire. Oragnisme : SI du pays du Gier.	
1905 - 1987 Réf. 10327
1809 - 1882 Réf. 11043
Contemporain in 10272 Bernard
Bureau d'études Gaudriot.	
Stagiaire CPIE Limousin	
Herbier de M. Miciol cité par Boullu, Ann. Soc. Bot. Lyon, 1877, IV, page 161.	
contemporain 2012
cité dans les données CREN Rhône-Alpes	
Ami de léon Dufour Hyères Botaniste
Bureau d'études BIOTOPE	
1845 - 1932 Réf. 11048
Contemporain Antenne Corse
1793 - 1876 Montpellier
Contemporain 1985 Nice
= Horrès (Frère)	
début 19° in Herbier Dunal MPU
1963 in 10280 (Blanchet)
Public. 1831 (Lot) Réf. 11045
Contemporain 1996 in11573
cité lors d'une sortie organisée par Daniel MICHAU (SBA)	
Béziers 1937 in 10297
1929 
Botaniste, CERCIS, 34000 Montpellier	
Contemporain 2004 SD 34 Brigade Ouest
Contemporain 1981 in Herbier Paris
SBF depuis 1970 Cabestany (66)
Cité dans le Supplément à la Flore de Balbis, Doc. 14012 page 41.	
1995 Carex de France Professeur
Correspdt de G. MARTIN	
in Loret & Barrandon in Herb. Bouchet
2007 : EID Arles 
CRPF Limousin	
Cartographe du département de la Loire	
1802 - 1876 Réf. 11223
in Loret & Barrandon Fraïsse 34
Contemporain Sennen 
FRAPNa Ardèche	
Agent du parc en 2010
LPO	
Contemporain 2004 Mulhouse
? - 1862 Réf. 11044
1866 in 30423 Charpin & S
Fichier OPNA	
Contemporain Professeur
C.P.I.E. de Haute Auvergne.	
Stagiaire P.N.R. Pilat en 2007	
Travaille à la Compagnie Nationale du Rhône.	
In Chassagne	
 Gard
Depuis 1996 
A prospecté avec E. Grenier.	
 Contemporain 2006
03 Vichy	
Contemporain 2001 Propriétaire Pradet
Uni. Barcelone Contemporaine
 10162 Conill1935p132
1931 - 1996 Réf. 11673
SBCO Contemporain 2008
Bord Général	
1856 - 1910 Réf. Biogr/11673
Wageningen in 10202
ENL00104	
Public. 1924 Réf. 11044
Contemporain 2012 Hieraciologue
Directeur depuis1981 
Boreau publie biog.1851	
1802 - 1874 Réf. 11045/11673
Habitant de Chavaniac-Lafayette (43).	
employé à la LPO	
1816 - 1891 Garraud/Charpin
1826 - 1910 
Collaborateur Plantes envahissantes de la Loire. Organisme : SIMIRA	
Laboratoire de physiologie intégrative de l'arbre. Université Blaise-Pascal. 63170 Aubière.	
Contemporain Massot 
Contemporain 1919 
