bd_mere;count;count_distinct;
CBN-PMP_1;65013;1;Geoznieff
CBN-SAT_1;166163;1;OFSA
CBN-MCE_1;4401341;315;"Des noms d'observateurs, des organismes.
SBA BP
PNR Pilat
Limoges Métropole
JABOUILLE Maggy
DUBOC_juin2012
ONCFSAllier_juillet2012
Association DIGITALIS
GUERBAA_novembre2012
SARRAZIN_avril2012
CENRhône-Alpes_RNRColleigne
GARNIERYves_novembre2012
BONNIERAymeric_juin2012
ONCFS Puy-de-Dôme
FDC de la Haute-Vienne
…"
