bd_mere;count;count_distinct;;;nature_objet_geo;libelle_nature_objet_geo
CBN-COR_1;71126;2;12597 (I) et 58529 (S) ;; S;Stationnel
CBN-SAT_1;166163;1;166163 (I);; I;Inventoriel
