bd_mere;count;count_distinct
CBN-ALP_2;4638879;4311
CBN-BAL_2;1241534;2613
CBN-BPA_1;4451960;5918
CBN-BPA_1_bryo;1833;450
CBN-BRE_1;2453635;2682
CBN-BRE_2;2546;29
CBN-COR_1;71126;2032
CBN-MCE_1;4401341;6126
CBN-MED_1;2142641;7137
CBN-PMP_1;752900;6564
CBN-SAT_1;166163;166163
