0		
1	NE	Non évaluée
2	NA	Non applicable
3	DD	Données insuffisantes
4	LC	Préoccupation mineure
5	NT	Quasi menacée
6	VU	Vulnérable
7	EN	En danger
8	CR	En danger critique
9	CR*	Disparue ?
10	RE	Disparue au niveau régional
11	EW	Éteinte à l’état sauvage
12	EX	Éteinte
